2018-07-18 07:54:52,"Tiago vai deixar sdds, um dos mais talentosos q já passou pelo programa. Estudioso e cheio de garra, tem mto futuro… https://t.co/sBOx6N4GOk"
2018-07-18 03:19:53,"Rapaz o @HugoMChef tão emocionado ouvindo os chef, que bonito. Rapaz, que força :) parabéns @MasterChefBR_ #MasterChefBR"
2018-07-18 03:18:44,O Hugo me inspira! Sinto muita sinceridade no seu olhar :) #MasterChefBrasil #MasterchefBR
2018-07-18 03:14:41,"#MasterChefBR nao devia eliminar ninguém, aí no proximo ep saía a maria antonia e todo mundo ficaria feliz :)"
2018-07-18 03:10:36,"O Thiago vai sair :(
O Hugo vai ficar :)
#MasterChefBR"
2018-07-18 02:57:22,"@masterchefbr Quem perder hj não vai ganhar !!! :D
#MasterChefBR"
2018-07-18 02:53:17,"Elas mereceram :)
#masterchefbr 
Agr #VaiHugo ❤"
2018-07-18 02:37:39,"Pode acabar essa edição do #MasterChefBR 
Essas meninas não descem! :P"
2018-07-18 02:13:11,"@masterchefbr Vai equipe Vermelha o melhor e o maior :)
#MasterChefBr"
2018-07-18 02:10:51,"RT @beandradebp: Nessa horas eu queria ser Ana, só pra comer e ter um treco na contagem regressiva :)  #MasterChefBR"
2018-07-18 02:10:07,"Nessa horas eu queria ser Ana, só pra comer e ter um treco na contagem regressiva :)  #MasterChefBR"
2018-07-18 01:56:05,A grande final está chegando :D #MasterChefBR
2018-07-18 01:55:09,Bem que poderiam fazer uma edição de Masterchef vegetariano! #MasterChefBR fica a dica :)
2018-07-18 01:31:07,Já de plantão aqui.  :)  #MasterChefBR
2018-07-11 17:34:02,"maria antônia me surpreendeu muito e não esperava ela indo tão longe, e quero ela na final com a eliane pois vejo e… https://t.co/iCFUPlncDc"
2018-07-11 04:38:03,@LacerdaKatleen rainha do Master Chef e dona do meu coração. Você é uma pessoa incrível e com um coração lindo. Cê… https://t.co/aXryzep4S2
2018-07-11 03:53:20,"chorei vendo a Ketleeeeen saindo, é isto, não choro mais por #MasterchefBR :P"
2018-07-11 03:04:16,#MasterChefBR o prato ta Katleen parece ser tão bom :)
2018-07-11 02:46:46,#MasterChefBR Já comi Jacaré pensando que era frango. E só soube que era jacaré quando me falaram :)
2018-07-11 02:40:22,"Manas jacaré é difícil olha, já provei só o que meu pai fez e odieeeiiii kkkkkkk pq é muito forte a carne :P #MasterChefBR"
2018-07-11 02:18:22,"#MasterChefBr é bom demais, paro mesmo para assistir :D"
2018-07-11 02:17:36,"Thiago achou que ia grelhar, mas ri melhor quem ri por ultimo né Thiagão :) #MasterChefBR"
2018-07-11 02:15:26,"Essses chefes cada dia mais superando paladares !!!:) ...., #MasterChefBR @PaolaCarosella 
@erickjacquin 
@fogaca_henrique"
2018-07-11 02:13:51,"#MasterChefBR
Costela com Farofa é tudo de bom! :)"
2018-07-11 01:42:25,Correndo para o #MasterChefBR :)
